x,y,Speedup
1,1,6<= speedup <10
2,1,6<= speedup <10
3,1,6<= speedup <10
4,1,10<= speedup < 15
5,1,10<= speedup < 15
6,1,10<= speedup < 15
7,1,10<= speedup < 15
8,1,10<= speedup < 15
9,1,10<= speedup < 15
10,1,10<= speedup < 15
11,1,10<= speedup < 15
12,1,10<= speedup < 15
13,1,10<= speedup < 15
14,1,10<= speedup < 15
15,1,speedup >= 15
16,1,10<= speedup < 15
17,1,10<= speedup < 15
18,1,10<= speedup < 15
19,1,10<= speedup < 15
20,1,10<= speedup < 15
1,2,6<= speedup <10
2,2,10<= speedup < 15
3,2,10<= speedup < 15
4,2,10<= speedup < 15
5,2,10<= speedup < 15
6,2,10<= speedup < 15
7,2,10<= speedup < 15
8,2,speedup >= 15
9,2,10<= speedup < 15
10,2,speedup >= 15
11,2,10<= speedup < 15
12,2,speedup >= 15
13,2,speedup >= 15
14,2,speedup >= 15
15,2,speedup >= 15
16,2,speedup >= 15
17,2,speedup >= 15
18,2,speedup >= 15
19,2,speedup >= 15
20,2,speedup >= 15
1,3,6<= speedup <10
2,3,10<= speedup < 15
3,3,10<= speedup < 15
4,3,10<= speedup < 15
5,3,10<= speedup < 15
6,3,speedup >= 15
7,3,speedup >= 15
8,3,speedup >= 15
9,3,speedup >= 15
10,3,speedup >= 15
11,3,speedup >= 15
12,3,speedup >= 15
13,3,speedup >= 15
14,3,speedup >= 15
15,3,speedup >= 15
16,3,speedup >= 15
17,3,speedup >= 15
18,3,speedup >= 15
19,3,speedup >= 15
20,3,speedup >= 15
1,4,6<= speedup <10
2,4,10<= speedup < 15
3,4,10<= speedup < 15
4,4,10<= speedup < 15
5,4,10<= speedup < 15
6,4,10<= speedup < 15
7,4,speedup >= 15
8,4,speedup >= 15
9,4,speedup >= 15
10,4,speedup >= 15
11,4,speedup >= 15
12,4,speedup >= 15
13,4,speedup >= 15
14,4,speedup >= 15
15,4,speedup >= 15
16,4,speedup >= 15
17,4,speedup >= 15
18,4,speedup >= 15
19,4,speedup >= 15
20,4,speedup >= 15
1,5,6<= speedup <10
2,5,10<= speedup < 15
3,5,10<= speedup < 15
4,5,speedup >= 15
5,5,speedup >= 15
6,5,speedup >= 15
7,5,speedup >= 15
8,5,speedup >= 15
9,5,speedup >= 15
10,5,speedup >= 15
11,5,speedup >= 15
12,5,speedup >= 15
13,5,speedup >= 15
14,5,speedup >= 15
15,5,speedup >= 15
16,5,speedup >= 15
17,5,speedup >= 15
18,5,speedup >= 15
19,5,speedup >= 15
20,5,speedup >= 15